"hair" "eyes" "gender"
"Brown" "Brown" "Female"
"Blond" "Green" "Male"
"Blond" "Green" "Female"
"Blond" "Blue" "Female"
"Brown" "Blue" "Male"
"Black" "Brown" "Male"
"Black" "Brown" "Female"
"Brown" "Brown" "Female"
"Black" "Blue" "Male"
"Red" "Brown" "Female"
"Blond" "Blue" "Male"
"Black" "Hazel" "Male"
"Black" "Brown" "Male"
"Black" "Hazel" "Male"
"Red" "Hazel" "Female"
"Brown" "Hazel" "Female"
"Brown" "Green" "Male"
"Red" "Hazel" "Female"
"Blond" "Blue" "Female"
"Brown" "Blue" "Female"
"Red" "Green" "Male"
"Brown" "Green" "Female"
"Red" "Hazel" "Male"
"Brown" "Green" "Male"
"Black" "Hazel" "Female"
"Black" "Brown" "Male"
"Black" "Hazel" "Male"
"Black" "Brown" "Female"
"Brown" "Hazel" "Male"
"Brown" "Blue" "Female"
"Brown" "Green" "Male"
"Blond" "Blue" "Female"
"Brown" "Blue" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Blond" "Brown" "Female"
"Brown" "Brown" "Female"
"Black" "Brown" "Male"
"Brown" "Brown" "Female"
"Brown" "Green" "Male"
"Red" "Brown" "Male"
"Blond" "Blue" "Female"
"Blond" "Blue" "Male"
"Black" "Brown" "Female"
"Black" "Blue" "Female"
"Black" "Brown" "Female"
"Brown" "Brown" "Female"
"Blond" "Blue" "Male"
"Blond" "Blue" "Male"
"Red" "Blue" "Male"
"Blond" "Blue" "Male"
"Blond" "Green" "Male"
"Brown" "Brown" "Male"
"Black" "Brown" "Female"
"Brown" "Brown" "Male"
"Brown" "Hazel" "Male"
"Brown" "Brown" "Female"
"Brown" "Hazel" "Female"
"Black" "Brown" "Male"
"Blond" "Green" "Male"
"Black" "Brown" "Female"
"Brown" "Brown" "Female"
"Brown" "Blue" "Female"
"Brown" "Brown" "Female"
"Brown" "Blue" "Female"
"Brown" "Blue" "Female"
"Black" "Brown" "Male"
"Black" "Brown" "Female"
"Brown" "Green" "Male"
"Brown" "Blue" "Female"
"Black" "Blue" "Male"
"Blond" "Blue" "Male"
"Brown" "Brown" "Male"
"Black" "Brown" "Female"
"Blond" "Blue" "Male"
"Brown" "Blue" "Female"
"Blond" "Blue" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Female"
"Blond" "Blue" "Female"
"Brown" "Blue" "Male"
"Brown" "Blue" "Female"
"Brown" "Hazel" "Male"
"Brown" "Brown" "Female"
"Blond" "Blue" "Female"
"Red" "Brown" "Female"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Blond" "Blue" "Female"
"Black" "Blue" "Female"
"Brown" "Blue" "Male"
"Blond" "Blue" "Female"
"Brown" "Blue" "Male"
"Brown" "Blue" "Male"
"Brown" "Green" "Female"
"Red" "Hazel" "Male"
"Brown" "Blue" "Male"
"Brown" "Hazel" "Female"
"Black" "Brown" "Male"
"Brown" "Blue" "Male"
"Brown" "Blue" "Male"
"Blond" "Green" "Female"
"Brown" "Hazel" "Male"
"Red" "Hazel" "Female"
"Brown" "Brown" "Male"
"Black" "Brown" "Female"
"Blond" "Hazel" "Female"
"Brown" "Hazel" "Male"
"Brown" "Green" "Female"
"Red" "Green" "Female"
"Blond" "Blue" "Female"
"Black" "Blue" "Female"
"Black" "Brown" "Female"
"Blond" "Blue" "Female"
"Blond" "Green" "Male"
"Brown" "Brown" "Male"
"Black" "Brown" "Female"
"Red" "Brown" "Female"
"Black" "Brown" "Female"
"Black" "Brown" "Female"
"Brown" "Blue" "Female"
"Blond" "Blue" "Female"
"Blond" "Blue" "Female"
"Red" "Blue" "Female"
"Red" "Blue" "Female"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Blond" "Green" "Female"
"Brown" "Brown" "Male"
"Blond" "Blue" "Female"
"Brown" "Brown" "Female"
"Brown" "Green" "Male"
"Black" "Brown" "Male"
"Red" "Green" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Black" "Brown" "Male"
"Brown" "Brown" "Male"
"Brown" "Hazel" "Male"
"Blond" "Blue" "Male"
"Brown" "Blue" "Male"
"Red" "Hazel" "Female"
"Blond" "Green" "Female"
"Brown" "Brown" "Female"
"Red" "Brown" "Male"
"Brown" "Green" "Male"
"Brown" "Brown" "Male"
"Brown" "Brown" "Female"
"Brown" "Green" "Female"
"Brown" "Hazel" "Female"
"Red" "Brown" "Female"
"Brown" "Blue" "Male"
"Brown" "Hazel" "Female"
"Red" "Blue" "Male"
"Brown" "Blue" "Male"
"Black" "Brown" "Male"
"Brown" "Hazel" "Male"
"Blond" "Green" "Male"
"Brown" "Hazel" "Male"
"Brown" "Brown" "Female"
"Brown" "Brown" "Male"
"Brown" "Blue" "Female"
"Brown" "Brown" "Male"
"Brown" "Blue" "Female"
"Red" "Brown" "Female"
"Brown" "Hazel" "Male"
"Brown" "Brown" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Female"
"Blond" "Hazel" "Female"
"Red" "Brown" "Male"
"Brown" "Blue" "Female"
"Brown" "Blue" "Male"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Blond" "Green" "Female"
"Brown" "Hazel" "Male"
"Brown" "Blue" "Male"
"Blond" "Blue" "Male"
"Black" "Brown" "Female"
"Brown" "Brown" "Female"
"Blond" "Blue" "Male"
"Red" "Green" "Male"
"Brown" "Brown" "Female"
"Black" "Blue" "Male"
"Brown" "Brown" "Female"
"Black" "Hazel" "Female"
"Black" "Green" "Female"
"Brown" "Hazel" "Male"
"Blond" "Blue" "Female"
"Brown" "Brown" "Male"
"Brown" "Brown" "Female"
"Brown" "Brown" "Male"
"Brown" "Brown" "Male"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Black" "Blue" "Female"
"Brown" "Hazel" "Male"
"Blond" "Blue" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Female"
"Black" "Blue" "Male"
"Brown" "Hazel" "Female"
"Black" "Brown" "Female"
"Brown" "Green" "Female"
"Brown" "Green" "Female"
"Red" "Blue" "Female"
"Black" "Hazel" "Male"
"Red" "Blue" "Male"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Black" "Brown" "Male"
"Red" "Brown" "Female"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Brown" "Hazel" "Female"
"Blond" "Green" "Male"
"Brown" "Brown" "Male"
"Black" "Green" "Male"
"Black" "Brown" "Female"
"Red" "Blue" "Male"
"Brown" "Blue" "Male"
"Blond" "Hazel" "Female"
"Brown" "Hazel" "Male"
"Brown" "Blue" "Female"
"Red" "Brown" "Female"
"Black" "Brown" "Female"
"Black" "Brown" "Male"
"Black" "Brown" "Male"
"Black" "Blue" "Male"
"Brown" "Brown" "Female"
"Brown" "Hazel" "Female"
"Blond" "Blue" "Female"
"Red" "Brown" "Female"
"Red" "Brown" "Male"
"Brown" "Hazel" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Brown" "Green" "Female"
"Red" "Green" "Male"
"Red" "Brown" "Male"
"Red" "Brown" "Male"
"Black" "Brown" "Female"
"Brown" "Blue" "Female"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Black" "Brown" "Female"
"Brown" "Hazel" "Female"
"Black" "Brown" "Male"
"Red" "Green" "Male"
"Blond" "Blue" "Female"
"Brown" "Blue" "Male"
"Black" "Blue" "Female"
"Brown" "Blue" "Female"
"Black" "Brown" "Female"
"Brown" "Brown" "Male"
"Red" "Hazel" "Male"
"Black" "Hazel" "Male"
"Brown" "Hazel" "Female"
"Brown" "Hazel" "Male"
"Brown" "Blue" "Male"
"Brown" "Blue" "Male"
"Brown" "Green" "Female"
"Red" "Brown" "Male"
"Brown" "Brown" "Female"
"Brown" "Hazel" "Female"
"Brown" "Hazel" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Male"
"Red" "Green" "Male"
"Blond" "Blue" "Female"
"Brown" "Brown" "Male"
"Black" "Brown" "Female"
"Black" "Brown" "Male"
"Red" "Brown" "Female"
"Blond" "Green" "Female"
"Blond" "Blue" "Male"
"Black" "Brown" "Male"
"Red" "Blue" "Male"
"Black" "Brown" "Female"
"Brown" "Hazel" "Male"
"Black" "Brown" "Male"
"Brown" "Brown" "Female"
"Brown" "Brown" "Male"
"Brown" "Hazel" "Male"
"Red" "Hazel" "Male"
"Blond" "Blue" "Male"
"Brown" "Hazel" "Female"
"Brown" "Brown" "Female"
"Black" "Blue" "Male"
"Brown" "Hazel" "Female"
"Brown" "Blue" "Male"
"Brown" "Blue" "Female"
"Black" "Green" "Female"
"Blond" "Green" "Female"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Brown" "Brown" "Male"
"Black" "Brown" "Male"
"Blond" "Blue" "Female"
"Brown" "Brown" "Male"
"Blond" "Hazel" "Female"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Brown" "Brown" "Female"
"Blond" "Green" "Male"
"Blond" "Blue" "Female"
"Red" "Brown" "Male"
"Black" "Hazel" "Male"
"Black" "Brown" "Female"
"Blond" "Blue" "Male"
"Brown" "Brown" "Male"
"Blond" "Blue" "Female"
"Brown" "Green" "Male"
"Black" "Brown" "Female"
"Black" "Blue" "Female"
"Brown" "Blue" "Male"
"Brown" "Hazel" "Male"
"Brown" "Blue" "Male"
"Blond" "Blue" "Male"
"Brown" "Blue" "Male"
"Brown" "Brown" "Female"
"Brown" "Blue" "Female"
"Brown" "Brown" "Female"
"Brown" "Green" "Female"
"Black" "Brown" "Female"
"Blond" "Brown" "Female"
"Red" "Blue" "Female"
"Brown" "Blue" "Male"
"Black" "Brown" "Male"
"Black" "Blue" "Female"
"Blond" "Blue" "Female"
"Red" "Blue" "Female"
"Brown" "Green" "Male"
"Black" "Brown" "Female"
"Brown" "Brown" "Female"
"Brown" "Hazel" "Female"
"Red" "Blue" "Male"
"Red" "Blue" "Male"
"Brown" "Brown" "Male"
"Black" "Hazel" "Male"
"Brown" "Blue" "Male"
"Blond" "Blue" "Female"
"Blond" "Blue" "Female"
"Red" "Blue" "Male"
"Blond" "Blue" "Female"
"Blond" "Hazel" "Male"
"Black" "Brown" "Female"
"Brown" "Brown" "Male"
"Blond" "Hazel" "Male"
"Brown" "Blue" "Female"
"Brown" "Brown" "Male"
"Blond" "Blue" "Female"
"Black" "Brown" "Female"
"Black" "Green" "Male"
"Blond" "Blue" "Female"
"Brown" "Blue" "Female"
"Red" "Blue" "Male"
"Brown" "Blue" "Male"
"Brown" "Hazel" "Male"
"Brown" "Brown" "Female"
"Brown" "Brown" "Male"
"Black" "Blue" "Male"
"Brown" "Brown" "Female"
"Blond" "Blue" "Female"
"Brown" "Blue" "Female"
"Brown" "Green" "Female"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Brown" "Hazel" "Male"
"Black" "Hazel" "Male"
"Brown" "Blue" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Blond" "Blue" "Female"
"Blond" "Blue" "Male"
"Brown" "Green" "Male"
"Red" "Hazel" "Female"
"Brown" "Hazel" "Female"
"Brown" "Brown" "Female"
"Blond" "Brown" "Female"
"Brown" "Blue" "Male"
"Blond" "Blue" "Male"
"Blond" "Blue" "Female"
"Black" "Brown" "Female"
"Red" "Green" "Female"
"Brown" "Blue" "Female"
"Black" "Brown" "Male"
"Black" "Brown" "Female"
"Brown" "Hazel" "Male"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Brown" "Blue" "Male"
"Brown" "Green" "Male"
"Brown" "Brown" "Female"
"Red" "Brown" "Female"
"Blond" "Blue" "Male"
"Black" "Brown" "Male"
"Brown" "Hazel" "Female"
"Brown" "Blue" "Female"
"Brown" "Blue" "Female"
"Black" "Brown" "Male"
"Brown" "Hazel" "Female"
"Red" "Blue" "Female"
"Black" "Blue" "Female"
"Brown" "Brown" "Male"
"Blond" "Blue" "Female"
"Blond" "Blue" "Female"
"Brown" "Green" "Male"
"Black" "Blue" "Male"
"Black" "Brown" "Male"
"Brown" "Brown" "Female"
"Blond" "Brown" "Male"
"Blond" "Blue" "Male"
"Red" "Green" "Male"
"Brown" "Brown" "Male"
"Blond" "Blue" "Female"
"Brown" "Brown" "Male"
"Blond" "Blue" "Male"
"Black" "Brown" "Male"
"Blond" "Blue" "Female"
"Brown" "Green" "Female"
"Blond" "Blue" "Female"
"Brown" "Blue" "Male"
"Black" "Brown" "Female"
"Blond" "Blue" "Male"
"Brown" "Green" "Male"
"Red" "Green" "Female"
"Brown" "Brown" "Male"
"Brown" "Brown" "Female"
"Red" "Blue" "Female"
"Blond" "Blue" "Male"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Blond" "Hazel" "Male"
"Brown" "Blue" "Female"
"Blond" "Blue" "Female"
"Brown" "Blue" "Male"
"Black" "Hazel" "Female"
"Blond" "Blue" "Female"
"Blond" "Brown" "Male"
"Brown" "Brown" "Female"
"Blond" "Blue" "Male"
"Black" "Blue" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Female"
"Blond" "Blue" "Female"
"Red" "Brown" "Female"
"Brown" "Brown" "Male"
"Red" "Blue" "Male"
"Brown" "Hazel" "Female"
"Blond" "Blue" "Male"
"Blond" "Blue" "Female"
"Black" "Hazel" "Male"
"Brown" "Brown" "Male"
"Brown" "Brown" "Female"
"Brown" "Hazel" "Female"
"Brown" "Hazel" "Male"
"Brown" "Hazel" "Female"
"Black" "Brown" "Female"
"Black" "Brown" "Male"
"Blond" "Blue" "Female"
"Blond" "Blue" "Female"
"Red" "Hazel" "Male"
"Blond" "Blue" "Male"
"Brown" "Blue" "Female"
"Brown" "Hazel" "Female"
"Black" "Blue" "Male"
"Brown" "Green" "Female"
"Brown" "Hazel" "Male"
"Blond" "Blue" "Female"
"Black" "Brown" "Male"
"Brown" "Brown" "Female"
"Black" "Brown" "Male"
"Blond" "Brown" "Female"
"Brown" "Blue" "Male"
"Brown" "Hazel" "Male"
"Brown" "Hazel" "Female"
"Brown" "Blue" "Male"
